,Point X,Point Y
0,0,349
1,0,338
2,0,327
3,0,315
4,0,304
5,0,292
6,0,281
7,0,269
8,0,256
9,0,244
10,0,231
11,0,218
12,0,204
13,0,190
14,0,176
15,0,160
16,0,144
17,18,141
18,53,152
19,69,150
20,92,155
21,113,160
22,127,161
23,145,165
24,159,168
25,176,176
26,187,177
27,195,174
28,205,176
29,215,178
30,224,179
31,233,181
32,242,184
33,250,186
34,257,186
35,265,188
36,272,192
37,279,193
38,285,195
39,292,196
40,298,197
41,303,198
42,309,201
43,315,203
44,320,205
45,325,206
46,330,208
47,335,210
48,341,210
49,346,212
50,351,214
51,356,216
52,361,216
53,366,216
54,372,217
55,376,220
56,382,221
57,387,222
58,393,222
59,408,208
60,401,231
61,412,224
62,411,234
63,416,237
64,422,239
65,428,240
66,434,242
67,439,245
68,445,247
69,451,250
70,459,252
71,467,254
72,475,256
73,481,259
74,491,262
75,500,265
76,510,268
77,519,272
78,529,276
79,541,280
80,556,284
81,570,289
82,587,294
83,606,300
84,623,307
85,626,317
86,639,327
87,639,338
88,639,349
